"Name","Area_2020_km2","Gross_Loss","Restorable_km2","OVERALL_SRE","OVERALL_SCORE_MIN","OVERALL_SCORE_MAX","Min_Score","Max_Score","Total_Fish","Fish","Crab","Bivalve","Shrimp","MeanAGB_Secure","MeanAGB_Restor","MeanSOC_Secure","MeanSOC_Restor","Area_Rank","Proportion_Restorable"
"Pakistan",829.930992905797,227.863480883705,118.981022503094,0.729924050632911,0.592,0.841930063877137,0.729924050632911,0.789924050632911,2241367234.62692,742633993.959991,3138871.65238731,0,1495594369.01454,51797.5571711561,9255.31471332975,2124798.67824706,45892.3947061624,30,14.34
"Palau",56.877171475371,1.69986304836022,1.37496442137193,0.833052840223838,0.749052840223838,0.845052840223838,0.720419002616321,0.893052840223838,6192529.46668633,2096143.55069449,8526.36660954652,0,4087859.5493823,2517.94148760588,5908.01680255335,17395.1969745679,8201.49575540054,66,2.42
"Panama",1535.68677942737,63.8181499083735,34.0379787153261,0.789059871638825,0.521976491228448,0.9,0.709867754748955,0.790427380647619,33457906.2336037,4868027.51486915,11547159.1358097,17042719.5829248,0,81444.7279542842,74849.5196126448,689983.472181589,104314.945155217,25,2.22
"Papua New Guinea",4621.78748278521,166.737310755942,45.8222779784598,0.704,0.512,0.859956033510808,0.660887177959525,0.764,367291112.992887,126853142.164244,518534.53618563,0,239919436.292457,266042.78121482,80741.5928481152,1126976.67912972,49410.6971574423,8,0.99
"Peru",54.9388808318858,11.0083303281701,8.66009197914586,0.740844064011909,0.632844064011909,0.836844064011909,0.645272794938593,0.800844064011909,55015997.3316956,6238704.33927559,17738477.6734132,31038815.3190068,0,5544.80471300213,15856.8707927571,95848.271080274,51103.2759969097,67,15.76
"Philippines",2847.98636347276,254.969192014904,230.776541161914,0.784764401145958,0.5,0.897327506106899,0.668,0.844764401145958,904135492.214287,302836516.556511,1231860.0778794,0,600067115.579897,223307.652894583,519742.069429283,3757074.94798748,1652858.19745032,14,8.1
"Puerto Rico",82.8447091525954,11.2627072312354,9.72569861279897,0.669970473016847,0.456,0.705970473016847,0.608725830045025,0.729970473016847,15594707.2135438,7218265.22022662,8376441.99331719,0,0,2803.5887572829,3591.93612196887,175259.375461403,19051.4500215224,61,11.74
"Qatar",4.53508270343256,0.400360658521355,0.387152502704459,0.644913443830571,0.6,0.728913443830571,0.62,0.704913443830571,3075329.07133866,1072628.74338305,4369.90560372821,0,1998330.42235188,81.4188937711527,103.255083746182,2977.26614644108,322.460273311679,87,8.54
"Saint Kitts and Nevis",0.345500335227309,0.0514228689333908,0.0514228689333908,0.6,0.6,0.6,0.54,0.66,85473.7729324342,41450.5380660621,44023.2348663721,0,0,10.3795721908947,14.1854153275561,728.322792587295,86.9639155328113,109,14.88
"Saint Lucia",1.62372281914312,0.0266057436742494,0.0266057436742494,0.62,0.608,0.632,0.56,0.68,35946.0933040436,17432.0713560087,18514.0219480349,0,0,22.4942656752353,30.7421630894883,308.75773858244,36.8665956516347,97,1.64
"Saint Martin (French part)",0.0103731439965042,0.00269524540407058,0.00269524540407058,0.572,0.572,0.572,0.512,0.632,4567.35290522961,2214.93949505439,2352.41341017522,0,0,0.559076401819334,0.764071082486423,43.4113156449454,5.18344067402333,122,25.98
"Saint Vincent and the Grenadines",0.325033017959456,0.0221132216446884,0.0221132216446884,0.59,0.572,0.62,0.53,0.65,31234.705088872,15147.2818836715,16087.4232052005,0,0,15.7500593557938,21.5250811195849,354.581459504571,42.3380847169637,111,6.8
"Samoa",2.32184451103715,0.188442380658906,0.140018194780502,0.798489204339112,0.782489204339112,0.842489204339112,0.665929094397329,0.858489204339112,218166.963074794,217191.89281968,975.070255114117,0,0,247.690730615939,428.033119904934,1714.53092953415,634.187769181633,92,6.03
"Sao Tome and Principe",0.483852078433015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA
"Saudi Arabia",76.0079443104073,52.4995693032911,45.2474419512646,0.719913862718708,0.564,0.82,0.687983849259758,0.779913862718708,561001084.888061,199191513.709307,811203.83642526,0,360998367.342328,25769.5838772549,7286.44994329963,295529.907596892,13233.9447613854,64,59.53
"Senegal",1268.71112590313,49.8621073642583,13.2987892247038,0.69555724852844,0.483384615384615,0.744905613434191,0.67155724852844,0.75555724852844,0,0,0,0,0,4993.65537761168,6767.91016213662,194505.428138929,35512.1529730454,28,1.05
"Seychelles",3.83049568821704,0.0216403428200377,0.016139315592039,0.747841622255457,0.739841622255457,0.755841622255457,0.678344996103048,0.807841622255458,72874.401738234,24817.8817308633,100.950318044582,0,47955.5696893262,17.8677081761607,10.0149043118748,349.237428196715,30.3397448554718,89,0.42
"Sierra Leone",1529.41029500709,99.445176267001,71.8898886703698,0.692,0.640071616532129,0.749842605659299,0.668,0.752,0,0,0,0,0,59907.8199990811,83500.9057543121,1334261.35429731,170551.241134337,27,4.7
