"Type","AGB","Mean_AGB_Carbon_Secure","Low_AGB_Carbon_Secure","Hi_AGB_Carbon_Secure","Mean_AGB_Carbon_Restor","Low_AGB_Carbon_Restor","Hi_AGB_Carbon_Restor"
"Estuary_1138",51387.7837476705,7803.12360335031,7776.70276657405,7829.54444012656,8651.75863049127,5668.35740536399,13331.9253732185
"Estuary_1143",19523.7917192176,5858.69769490654,5824.46586019191,5892.92952962117,393.015651504132,149.453618432827,2166.64764984372
"Estuary_1144",1294.73016593197,199.146639158411,196.931552150293,201.361726166528,215.438907274667,139.49587061853,335.918855859501
"Estuary_1152",15512.2104189726,2068.99454373777,2057.79248498583,2080.19660248971,2898.17035452145,1909.93780956548,4320.63878970083
"Estuary_1159",4939.96414153743,911.979848306991,900.809245056941,923.150451557041,669.846069454709,440.65095950608,1129.09345633262
"Estuary_1167",22303.8234097022,6513.35227287235,6490.8578978846,6535.8466478601,628.5550211484,294.852850881824,2649.47858351602
"Estuary_1169",38604.3521290452,11584.3905776342,11560.1703913536,11608.6107639148,777.109017607346,296.629654316645,4268.12659190299
"Estuary_1170",30894.5698952332,3505.49510945676,3493.4814811753,3517.50873773822,6387.25511669586,4565.32036704328,9205.38520791599
"Estuary_1174",61258.2302209041,18382.364314817,18330.272689639,18434.455939995,1233.13358421873,470.347950539228,6777.77842714256
"Estuary_1180",12326.5784554784,1707.10650472623,1695.07040391575,1719.1426055367,2239.98718250252,1493.82576814058,3375.47702670039
"Estuary_1183",14672.6598712998,4402.9704783993,4387.11006060076,4418.83089619785,295.361938989611,112.571605492806,1624.66724371627
"Estuary_1186",16423.0439462755,4928.22557703709,4909.52794447327,4946.92320960091,330.597324999794,125.976653260773,1818.83042927346
"Estuary_1188",4610.46178819663,511.29177686951,507.467989195406,515.115564543615,965.024192328931,682.584868570498,1391.21506417597
"Estuary_1196",9479.31417312558,1191.06166322265,1185.2479624424,1196.87536400289,1844.30952815389,1307.03644662821,2712.51945491484
"Estuary_12",312.258067891001,42.2485165856525,41.3395959931276,43.1574371781773,57.739639333725,37.2056363938148,87.7534555956271
"Estuary_1200",499.661559906922,101.371431080439,96.2481872310459,106.494674929833,58.625197017356,36.5536533887972,108.935328486458
"Estuary_1206",3826.95646807498,755.432707640514,749.965060692633,760.900354588394,469.997023001775,312.224646973903,821.088641927263
